index,tracklist_id,tracklist_name,tracklist_date,tracklist_userpagevisits,tracklist_userlikes,tracklist_tracks_IDed,tracklist_tracks_total,genre0,DJ0,Open Air / Festival0,name,byArtist,url,id_x,time,track_number,mashup,mashup_name,beatport0,apple0,spotify0,video0,soundcloud0,apple1,soundcloud1,apple2,traxsource0,spotify1,soundcloud2,beatport1,spotify2,apple3,beatport2,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,id_y,duration_ms,time_signature,genres
10,1ldcw1rk,"Hardwell @ Mainstage, Ultra Music Festival Miami, United States 2016-03-19","Sat, Mar 19 2016",346660,273,all,27,Big Room,Hardwell,Ultra Music Festival Miami,Hardwell & KURA - Calavera,Hardwell & KURA,/track/w6drdgx/hardwell-kura-calavera/index.html,279447,,,True,Swedish House Mafia - One,7754651,1132581431,2RTDwuOYrdVrfest9QVLlP,,255424737,,254777583,,5285740,,246555509,,,,,0.689,0.913,2.0,-2.944,1.0,0.0362,0.00612,0.0552,0.0562,0.076,127.974,2RTDwuOYrdVrfest9QVLlP,200625.0,4.0,"big room,dance pop,deep big room,dutch house,edm,electro house,progressive electro house,progressive house,tropical house"
11,1ldcw1rk,"Hardwell @ Mainstage, Ultra Music Festival Miami, United States 2016-03-19","Sat, Mar 19 2016",346660,273,all,27,Big Room,Hardwell,Ultra Music Festival Miami,Hardwell ft. Alexander Tidebrink - We Are One (Instrumental Mix),Hardwell,/track/19b5ygn5/hardwell-we-are-one-instrumental-mix/index.html,365200, 11:46 ,05,False,,9575451,,,,334735328,,,,,,,,,,,,,,,,,,,,,,,,,
12,1ldcw1rk,"Hardwell @ Mainstage, Ultra Music Festival Miami, United States 2016-03-19","Sat, Mar 19 2016",346660,273,all,27,Big Room,Hardwell,Ultra Music Festival Miami,Hardwell & MAKJ - Countdown (Acappella),Hardwell & MAKJ,/track/1twx6l65/hardwell-makj-countdown-acappella/index.html,173432, 12:16 ,w/,False,,,,,SGlUrbWP2yI,114203961,,154798838,,,,,,,,,,,,,,,,,,,,,,,
13,1ldcw1rk,"Hardwell @ Mainstage, Ultra Music Festival Miami, United States 2016-03-19","Sat, Mar 19 2016",346660,273,all,27,Big Room,Hardwell,Ultra Music Festival Miami,Calvin Harris & Disciples ft. Ina Wroldsen - How Deep Is Your Love (Acappella),Calvin Harris & Disciples,/track/f934r1p/calvin-harris-disciples-how-deep-is-your-love-acappella/index.html,263934, 13:17 ,w/,False,,,,,qWWSM3wCiKY,,,,,,,,,,,,,,,,,,,,,,,,,,
14,1ldcw1rk,"Hardwell @ Mainstage, Ultra Music Festival Miami, United States 2016-03-19","Sat, Mar 19 2016",346660,273,all,27,Big Room,Hardwell,Ultra Music Festival Miami,Hardwell & VINAI ft. Chuckie - Blackout vs. The Wave (Hardwell UMF 2016 Mashup),Hardwell & VINAI,/track/h5uf2gx/hardwell-vinai-blackout-vs.-the-wave-hardwell-umf-2016-mashup/index.html,301591, 15:02 ,06,True,,,,,bJ3R53ZIX_k,,,,,,,,,,,,,,,,,,,,,,,,,,
15,1ldcw1rk,"Hardwell @ Mainstage, Ultra Music Festival Miami, United States 2016-03-19","Sat, Mar 19 2016",346660,273,all,27,Big Room,Hardwell,Ultra Music Festival Miami,"Chuckie - Who's Ready To Jump (Put Your Hands Up, Put Your Fucking Hands Up Acappella)",Chuckie,/track/2sq2v035/chuckie-whos-ready-to-jump-put-your-hands-up-put-your-fucking-hands-up-acappella/index.html,230460,,,True,Hardwell & VINAI ft. Chuckie - Blackout vs. The Wave (Hardwell UMF 2016 Mashup),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,1ldcw1rk,"Hardwell @ Mainstage, Ultra Music Festival Miami, United States 2016-03-19","Sat, Mar 19 2016",346660,273,all,27,Big Room,Hardwell,Ultra Music Festival Miami,VINAI ft. Harrison - The Wave,VINAI,/track/h4b3s8p/vinai-the-wave/index.html,250954,,,True,"Chuckie - Who's Ready To Jump (Put Your Hands Up, Put Your Fucking Hands Up Acappella)",6849125,1337364927,41n12dnalEleTIgVhPAadq,,215513345,,210562650,,,,,6848983,,,,0.749,0.99,5.0,-1.824,1.0,0.174,0.00137,9.83e-05,0.139,0.0774,128.024,41n12dnalEleTIgVhPAadq,206250.0,4.0,"big room,deep big room,edm,electro house,melbourne bounce international,progressive electro house"
17,1ldcw1rk,"Hardwell @ Mainstage, Ultra Music Festival Miami, United States 2016-03-19","Sat, Mar 19 2016",346660,273,all,27,Big Room,Hardwell,Ultra Music Festival Miami,Hardwell - Blackout,Hardwell,/track/1hskyzbf/hardwell-blackout/index.html,290013,,,True,VINAI ft. Harrison - The Wave,,1184243599,6vX1EQAHBPePpYWvLTWFgd,,240807324,,,,5288158,,,,,,,0.59,0.972,11.0,-3.237,0.0,0.0675,0.000209,0.312,0.461,0.0457,128.018,6vX1EQAHBPePpYWvLTWFgd,236250.0,4.0,"big room,dance pop,deep big room,dutch house,edm,electro house,progressive electro house,progressive house,tropical house"
18,1ldcw1rk,"Hardwell @ Mainstage, Ultra Music Festival Miami, United States 2016-03-19","Sat, Mar 19 2016",346660,273,all,27,Big Room,Hardwell,Ultra Music Festival Miami,Hardwell ft. Jake Reese & Quintino vs. Garmiani vs. TJR ft. Savage ft. MAKJ & Lil Jon - Mad World vs. Bomb A Drop vs. We Wanna Party (Hardwell UMF 2016 Mashup),Hardwell ft. Jake Reese & Quintino vs. Garmiani vs. TJR ft. Savage,/track/ddmvvlx/hardwell-ft.-jake-reese-quintino-garmiani-tjr-ft.-savage-mad-world-vs.-bomb-a-drop-vs.-we-wanna-party-hardwell-umf-2016-mashup/index.html,308391, 18:00 ,07,True,,,,,xX59JmrQHv4,272887754,,,,,,,,,,,,,,,,,,,,,,,,,
19,1ldcw1rk,"Hardwell @ Mainstage, Ultra Music Festival Miami, United States 2016-03-19","Sat, Mar 19 2016",346660,273,all,27,Big Room,Hardwell,Ultra Music Festival Miami,MAKJ & Lil Jon - Let's Get F*cked Up,MAKJ & Lil Jon,/track/w3hgvlp/makj-lil-jon-lets-get-fucked-up/index.html,181650,,,True,Hardwell ft. Jake Reese & Quintino vs. Garmiani vs. TJR ft. Savage ft. MAKJ & Lil Jon - Mad World vs. Bomb A Drop vs. We Wanna Party (Hardwell UMF 2016 Mashup),5228562,830776716,6nlCPdygwRryI79rUbWx4m,,137889301,,139403108,,,,,,,,,0.737,0.932,0.0,-3.772,1.0,0.0786,0.00202,0.0503,0.115,0.0736,128.001,6nlCPdygwRryI79rUbWx4m,286754.0,4.0,"big room,deep big room,electro house,melbourne bounce"
