index,tracklist_id,tracklist_name,tracklist_date,tracklist_userpagevisits,tracklist_userlikes,tracklist_tracks_IDed,tracklist_tracks_total,genre0,genre1,genre2,genre3,DJ0,DJ1,Radio Show0,name,byArtist,url,id_x,time,track_number,mashup,beatport0,apple0,spotify0,soundcloud0,apple1,spotify1,traxsource0,soundcloud1,traxsource1,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,id_y,duration_ms,time_signature,genres
20,2l5u0mu9,Seven Lions & Habstrakt - Night Owl Radio 245 2020-04-24,"Fri, Apr 24 2020",1111,2,39,42,Dubstep,Trap,House,Bassline / Garage / Grime,Seven Lions,Habstrakt,Night Owl Radio,Seven Lions & Tyler Graves - Only Now,Seven Lions & Tyler Graves,/track/1plcr4gf/seven-lions-tyler-graves-only-now/index.html,524589, 1:22:17 ,21,False,13151544,1497125515,6mE1m1NmzO7slSiN6vzovg,764424082,,,7162168,,,0.384,0.808,7.0,-5.225,1.0,0.0397,0.00558,8.51e-06,0.116,0.195,149.926,6mE1m1NmzO7slSiN6vzovg,211200.0,4.0,"dubstep,edm,electro house,pop edm,progressive trance"
21,2l5u0mu9,Seven Lions & Habstrakt - Night Owl Radio 245 2020-04-24,"Fri, Apr 24 2020",1111,2,39,42,Dubstep,Trap,House,Bassline / Garage / Grime,Seven Lions,Habstrakt,Night Owl Radio,Seven Lions ft. Tyler Graves - Senseless,Seven Lions,/track/1zvf8s6x/seven-lions-senseless/index.html,565623, 1:25:46 ,22,False,13337915,1501540427,4antEhWfaS40HDDzDw0BFf,,,,7307637,,,0.826,0.486,11.0,-10.963,0.0,0.0681,0.0152,0.0928,0.122,0.512,126.021,4antEhWfaS40HDDzDw0BFf,189529.0,4.0,"dubstep,edm,electro house,pop edm,progressive trance"
22,2l5u0mu9,Seven Lions & Habstrakt - Night Owl Radio 245 2020-04-24,"Fri, Apr 24 2020",1111,2,39,42,Dubstep,Trap,House,Bassline / Garage / Grime,Seven Lions,Habstrakt,Night Owl Radio,Habstrakt - Show Me,Habstrakt,/track/17nrxjb5/habstrakt-show-me/index.html,572104, 1:29:04 ,23,False,13395053,1505605687,0ZVpeCq77i5ZkXWLfalueR,805435582,,,7325746,,,0.672,0.825,1.0,-4.551,1.0,0.233,0.0211,0.0934,0.648,0.351,127.982,0ZVpeCq77i5ZkXWLfalueR,174696.0,4.0,"bass house,dubstep,edm,electro house,electronic trap,filthstep"
23,2l5u0mu9,Seven Lions & Habstrakt - Night Owl Radio 245 2020-04-24,"Fri, Apr 24 2020",1111,2,39,42,Dubstep,Trap,House,Bassline / Garage / Grime,Seven Lions,Habstrakt,Night Owl Radio,Malaa - OCB,Malaa,/track/k981zyx/malaa-ocb/index.html,564055, 1:30:20 ,24,False,13361626,1504279742,4fs4MJMbe10cgpF0cvTtb8,782307730,,,7300483,,,0.781,0.941,1.0,-6.853,1.0,0.0696,0.0415,0.93,0.0183,0.496,125.019,4fs4MJMbe10cgpF0cvTtb8,253440.0,4.0,"bass house,edm,electro house,electronic trap,house"
24,2l5u0mu9,Seven Lions & Habstrakt - Night Owl Radio 245 2020-04-24,"Fri, Apr 24 2020",1111,2,39,42,Dubstep,Trap,House,Bassline / Garage / Grime,Seven Lions,Habstrakt,Night Owl Radio,Norsheep - Goliath,Norsheep,/track/22p01gfx/norsheep-goliath/index.html,571651, 1:32:37 ,25,False,13414054,1506753829,4uwlZLaAkDsKIaXnKbsqmp,780297616,,,7348956,,,0.88,0.692,0.0,-5.597,1.0,0.131,0.00195,0.0635,0.0546,0.282,125.997,4uwlZLaAkDsKIaXnKbsqmp,249554.0,4.0,
25,2l5u0mu9,Seven Lions & Habstrakt - Night Owl Radio 245 2020-04-24,"Fri, Apr 24 2020",1111,2,39,42,Dubstep,Trap,House,Bassline / Garage / Grime,Seven Lions,Habstrakt,Night Owl Radio,BIJOU ft. Tyler Graves - Crown (Lowdown Remix),BIJOU,/track/1j11q5ff/bijou-crown-lowdown-remix/index.html,574937, 1:34:08 ,26,False,12666085,1483139426,4PAcjIshmmX6EC1FS1oijp,,,,6734396,,,0.808,0.862,10.0,-4.812,1.0,0.172,0.0189,0.394,0.646,0.656,126.037,4PAcjIshmmX6EC1FS1oijp,184762.0,4.0,"bass house,electro house"
26,2l5u0mu9,Seven Lions & Habstrakt - Night Owl Radio 245 2020-04-24,"Fri, Apr 24 2020",1111,2,39,42,Dubstep,Trap,House,Bassline / Garage / Grime,Seven Lions,Habstrakt,Night Owl Radio,Lodgerz & Hans Glader - Get Down,Lodgerz & Hans Glader,/track/2c1b4dnf/lodgerz-hans-glader-get-down/index.html,574821, 1:35:30 ,27,False,13404817,1506083001,5Wvpn09LV2hlE44zeQ8Hds,811325548,,,7346556,,,0.849,0.716,2.0,-7.208,1.0,0.13,0.00469,0.823,0.0429,0.547,131.988,5Wvpn09LV2hlE44zeQ8Hds,189124.0,4.0,
27,2l5u0mu9,Seven Lions & Habstrakt - Night Owl Radio 245 2020-04-24,"Fri, Apr 24 2020",1111,2,39,42,Dubstep,Trap,House,Bassline / Garage / Grime,Seven Lions,Habstrakt,Night Owl Radio,Habstrakt & ASDEK - Es Isso,Habstrakt & ASDEK,/track/ghnw7sx/habstrakt-asdek-es-isso/index.html,557599, 1:36:24 ,28,False,13211520,1498277449,71lRigR1SzhVptQboeTDit,765874972,,,,,,0.917,0.814,7.0,-3.369,1.0,0.119,0.0264,0.282,0.0564,0.643,126.077,71lRigR1SzhVptQboeTDit,184148.0,4.0,"bass house,dubstep,edm,electro house,electronic trap,filthstep"
28,2l5u0mu9,Seven Lions & Habstrakt - Night Owl Radio 245 2020-04-24,"Fri, Apr 24 2020",1111,2,39,42,Dubstep,Trap,House,Bassline / Garage / Grime,Seven Lions,Habstrakt,Night Owl Radio,,,,, 1:37:54 ,29,False,,,,,,,,,,,,,,,,,,,,,,,,
29,2l5u0mu9,Seven Lions & Habstrakt - Night Owl Radio 245 2020-04-24,"Fri, Apr 24 2020",1111,2,39,42,Dubstep,Trap,House,Bassline / Garage / Grime,Seven Lions,Habstrakt,Night Owl Radio,DJ Snake ft. Sheck Wes & Offset & 21 Savage & Gucci Mane - Enzo,DJ Snake,/track/285h3xvf/dj-snake-enzo/index.html,493041, 1:39:14 ,30,False,11920400,1459918015,6mCqxnyOhr4tHMbRbQL4Yn,,,,,,,0.787,0.728,2.0,-4.049,1.0,0.0417,0.0902,0.0,0.316,0.198,119.945,6mCqxnyOhr4tHMbRbQL4Yn,248043.0,4.0,"dance pop,edm,electronic trap,pop,pop rap"
